real_isolate_id,project,source,date_isolated,genome_sequence
MBR 144,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 145,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 146,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 147,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 148,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 150,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 151,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 152,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR 154,LDRD- Produced Water Reuse,"MBR sludge -Day 326, TDS 100g/L",2020-06-14,
MBR-10,LDRD- Produced Water Reuse,"MBR sludge -Day 118, TDS 29g/L",2019-09-20,
MBR-100,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-03-16,
MBR-102,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-03-16,
MBR-103,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-03-16,
MBR-104,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-03-16,
MBR-105,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-03-16,
MBR-106,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-03-16,
MBR-107,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-03-16,
MBR-11,LDRD- Produced Water Reuse,"MBR sludge -Day 118, TDS 29g/L",2019-09-20,
MBR-12,LDRD- Produced Water Reuse,"MBR sludge -Day 118, TDS 29g/L",2019-09-20,
MBR-13,LDRD- Produced Water Reuse,"MBR sludge -Day 118, TDS 29g/L",2019-09-20,
MBR-14,LDRD- Produced Water Reuse,"MBR sludge -Day 118, TDS 29g/L",2019-09-20,
MBR-15,LDRD- Produced Water Reuse,"MBR sludge -Day 118, TDS 29g/L",2019-09-20,
MBR-155,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-07-01,
MBR-156,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-07-01,
MBR-157,LDRD- Produced Water Reuse,"MBR sludge -Day 291, TDS 90g/L",2020-07-01,
MBR-159,LDRD- Produced Water Reuse,MBR sludge (6/30/2020),2020-08-05,
